id,year,max_control_score,code
0,2020,3,AF
1,2021,4,AF
2,2022,2,AF
3,2020,4,AL
4,2021,3,AL
5,2022,1,AL
6,2020,4,DZ
7,2021,4,DZ
8,2022,1,DZ
9,2020,3,AD
10,2021,2,AD
11,2022,2,AD
12,2020,4,AO
13,2021,4,AO
14,2022,4,AO
15,2020,4,AR
16,2021,4,AR
17,2022,1,AR
18,2020,4,AW
19,2021,3,AW
20,2022,1,AW
21,2020,4,AU
22,2021,4,AU
23,2022,2,AU
24,2020,3,AT
25,2021,3,AT
26,2022,3,AT
27,2020,4,AZ
28,2021,4,AZ
29,2022,3,AZ
30,2020,4,BS
31,2021,3,BS
32,2022,1,BS
33,2020,3,BH
34,2021,2,BH
35,2022,1,BH
36,2020,3,BD
37,2021,4,BD
38,2022,2,BD
39,2020,2,BB
40,2021,2,BB
41,2022,2,BB
42,2020,4,BY
43,2021,4,BY
44,2022,3,BY
45,2020,4,BE
46,2021,4,BE
47,2022,2,BE
48,2020,4,BZ
49,2021,2,BZ
50,2022,2,BZ
51,2020,4,BJ
52,2021,4,BJ
53,2022,3,BJ
54,2020,4,BM
55,2021,2,BM
56,2022,1,BM
57,2020,4,BT
58,2021,4,BT
59,2022,2,BT
60,2020,4,BO
61,2021,4,BO
62,2022,1,BO
63,2020,4,BA
64,2021,1,BA
65,2022,1,BA
66,2020,4,BW
67,2021,2,BW
68,2022,1,BW
69,2020,4,BR
70,2021,3,BR
71,2022,3,BR
72,2020,4,BN
73,2021,4,BN
74,2022,4,BN
75,2020,4,BG
76,2021,4,BG
77,2022,3,BG
78,2020,4,BF
79,2021,4,BF
80,2022,1,BF
81,2020,3,BI
82,2021,4,BI
83,2022,2,BI
84,2020,3,KH
85,2021,3,KH
86,2022,1,KH
87,2020,4,CM
88,2021,4,CM
89,2022,4,CM
90,2020,4,CA
91,2021,4,CA
92,2022,2,CA
93,2020,4,CV
94,2021,1,CV
95,2022,1,CV
96,2020,4,CF
97,2021,2,CF
98,2022,2,CF
99,2020,4,TD
100,2021,4,TD
101,2022,1,TD
102,2020,4,CL
103,2021,4,CL
104,2022,1,CL
105,2020,3,CN
106,2021,3,CN
107,2022,2,CN
108,2020,4,CO
109,2021,4,CO
110,2022,1,CO
111,2020,4,CG
112,2021,2,CG
113,2022,2,CG
114,2020,4,CR
115,2021,1,CR
116,2022,1,CR
117,2020,4,CI
118,2021,4,CI
119,2022,1,CI
120,2020,4,HR
121,2021,3,HR
122,2022,1,HR
123,2020,4,CU
124,2021,3,CU
125,2022,1,CU
126,2020,4,CY
127,2021,3,CY
128,2022,1,CY
129,2020,4,CZ
130,2021,3,CZ
131,2022,1,CZ
132,2020,4,CD
133,2021,1,CD
134,2022,2,CD
135,2020,4,DK
136,2021,4,DK
137,2022,1,DK
138,2020,4,DJ
139,2021,3,DJ
140,2022,3,DJ
141,2020,4,DM
142,2021,2,DM
143,2022,1,DM
144,2020,4,DO
145,2021,3,DO
146,2022,1,DO
147,2020,4,EC
148,2021,4,EC
149,2022,2,EC
150,2020,4,EG
151,2021,1,EG
152,2022,1,EG
153,2020,4,SV
154,2021,3,SV
155,2022,1,SV
156,2020,4,ER
157,2021,4,ER
158,2022,1,ER
159,2020,3,EE
160,2021,3,EE
161,2022,1,EE
162,2020,4,SZ
163,2021,4,SZ
164,2022,1,SZ
165,2020,3,ET
166,2021,2,ET
167,2022,1,ET
168,2020,4,FO
169,2021,3,FO
170,2022,2,FO
171,2020,4,FJ
172,2021,4,FJ
173,2022,2,FJ
174,2020,4,FI
175,2021,3,FI
176,2022,1,FI
177,2020,3,FR
178,2021,3,FR
179,2022,2,FR
180,2020,4,GA
181,2021,3,GA
182,2022,2,GA
183,2020,4,GM
184,2021,2,GM
185,2022,1,GM
186,2020,4,GE
187,2021,3,GE
188,2022,2,GE
189,2020,4,DE
190,2021,3,DE
191,2022,2,DE
192,2020,4,GH
193,2021,4,GH
194,2022,1,GH
195,2020,3,GR
196,2021,3,GR
197,2022,3,GR
198,2020,4,GL
199,2021,4,GL
200,2022,1,GL
201,2020,4,GU
202,2021,4,GU
203,2022,2,GU
204,2020,4,GT
205,2021,3,GT
206,2022,3,GT
207,2020,4,GN
208,2021,2,GN
209,2022,1,GN
210,2020,4,GY
211,2021,3,GY
212,2022,1,GY
213,2020,4,HT
214,2021,2,HT
215,2022,1,HT
216,2020,4,HN
217,2021,3,HN
218,2022,1,HN
219,2020,4,HK
220,2021,3,HK
221,2022,3,HK
222,2020,4,HU
223,2021,4,HU
224,2022,1,HU
225,2020,3,IS
226,2021,3,IS
227,2022,3,IS
228,2020,4,IN
229,2021,3,IN
230,2022,2,IN
231,2020,4,ID
232,2021,3,ID
233,2022,3,ID
234,2020,3,IR
235,2021,3,IR
236,2022,3,IR
237,2020,4,IQ
238,2021,3,IQ
239,2022,3,IQ
240,2020,3,IE
241,2021,3,IE
242,2022,3,IE
243,2020,4,IL
244,2021,4,IL
245,2022,4,IL
246,2020,3,IT
247,2021,3,IT
248,2022,2,IT
249,2020,4,JM
250,2021,3,JM
251,2022,1,JM
252,2020,4,JP
253,2021,4,JP
254,2022,4,JP
255,2020,4,JO
256,2021,3,JO
257,2022,3,JO
258,2020,4,KZ
259,2021,3,KZ
260,2022,3,KZ
261,2020,4,KE
262,2021,3,KE
263,2022,1,KE
264,2020,4,KI
265,2021,4,KI
266,2022,4,KI
267,2020,4,XK
268,2021,3,XK
269,2022,1,XK
270,2020,4,KW
271,2021,4,KW
272,2022,2,KW
273,2020,4,KG
274,2021,3,KG
275,2022,1,KG
276,2020,4,LA
277,2021,4,LA
278,2022,3,LA
279,2020,4,LV
280,2021,3,LV
281,2022,1,LV
282,2020,4,LB
283,2021,4,LB
284,2022,1,LB
285,2020,4,LS
286,2021,4,LS
287,2022,1,LS
288,2020,4,LR
289,2021,3,LR
290,2022,1,LR
291,2020,4,LY
292,2021,4,LY
293,2022,1,LY
294,2020,3,LI
295,2021,3,LI
296,2022,1,LI
297,2020,4,LT
298,2021,3,LT
299,2022,1,LT
300,2020,3,LU
301,2021,3,LU
302,2022,1,LU
303,2020,4,MO
304,2021,3,MO
305,2022,3,MO
306,2020,4,MG
307,2021,4,MG
308,2022,2,MG
309,2020,4,MW
310,2021,4,MW
311,2022,1,MW
312,2020,4,MY
313,2021,3,MY
314,2022,2,MY
315,2020,4,ML
316,2021,2,ML
317,2022,1,ML
318,2020,4,MT
319,2021,3,MT
320,2022,3,MT
321,2020,4,MR
322,2021,2,MR
323,2022,1,MR
324,2020,4,MU
325,2021,4,MU
326,2022,1,MU
327,2020,3,MX
328,2021,1,MX
329,2022,1,MX
330,2020,4,MD
331,2021,3,MD
332,2022,3,MD
333,2020,3,MC
334,2021,1,MC
335,2022,1,MC
336,2020,4,MN
337,2021,4,MN
338,2022,2,MN
339,2020,4,MA
340,2021,4,MA
341,2022,4,MA
342,2020,4,MZ
343,2021,2,MZ
344,2022,2,MZ
345,2020,4,MM
346,2021,4,MM
347,2022,4,MM
348,2020,4,NA
349,2021,4,NA
350,2022,1,NA
351,2020,4,NP
352,2021,3,NP
353,2022,2,NP
354,2020,3,NL
355,2021,3,NL
356,2022,3,NL
357,2020,4,NZ
358,2021,4,NZ
359,2022,4,NZ
360,2020,2,NI
361,2021,1,NI
362,2022,1,NI
363,2020,4,NE
364,2021,2,NE
365,2022,2,NE
366,2020,4,NG
367,2021,2,NG
368,2022,1,NG
369,2020,4,NO
370,2021,3,NO
371,2022,1,NO
372,2020,4,OM
373,2021,3,OM
374,2022,3,OM
375,2020,4,PK
376,2021,3,PK
377,2022,1,PK
378,2020,4,PS
379,2021,4,PS
380,2022,4,PS
381,2020,4,PA
382,2021,3,PA
383,2022,1,PA
384,2020,4,PG
385,2021,3,PG
386,2022,1,PG
387,2020,4,PY
388,2021,3,PY
389,2022,3,PY
390,2020,4,PE
391,2021,3,PE
392,2022,3,PE
393,2020,4,PH
394,2021,4,PH
395,2022,3,PH
396,2020,4,PL
397,2021,3,PL
398,2022,3,PL
399,2020,3,PT
400,2021,3,PT
401,2022,2,PT
402,2020,3,PR
403,2021,3,PR
404,2022,1,PR
405,2020,4,QA
406,2021,3,QA
407,2022,2,QA
408,2020,4,RO
409,2021,3,RO
410,2022,3,RO
411,2020,4,RU
412,2021,3,RU
413,2022,3,RU
414,2020,4,RW
415,2021,2,RW
416,2022,2,RW
417,2020,4,SM
418,2021,3,SM
419,2022,1,SM
420,2020,4,SA
421,2021,4,SA
422,2022,3,SA
423,2020,4,SN
424,2021,3,SN
425,2022,1,SN
426,2020,4,RS
427,2021,2,RS
428,2022,1,RS
429,2020,4,SC
430,2021,3,SC
431,2022,1,SC
432,2020,4,SL
433,2021,2,SL
434,2022,1,SL
435,2020,3,SG
436,2021,3,SG
437,2022,2,SG
438,2020,4,SK
439,2021,2,SK
440,2022,1,SK
441,2020,3,SI
442,2021,2,SI
443,2022,2,SI
444,2020,4,SB
445,2021,4,SB
446,2022,4,SB
447,2020,4,SO
448,2021,2,SO
449,2022,2,SO
450,2020,4,ZA
451,2021,4,ZA
452,2022,1,ZA
453,2020,3,KR
454,2021,3,KR
455,2022,3,KR
456,2020,4,SS
457,2021,2,SS
458,2022,1,SS
459,2020,4,ES
460,2021,3,ES
461,2022,1,ES
462,2020,4,LK
463,2021,4,LK
464,2022,1,LK
465,2020,4,SD
466,2021,3,SD
467,2022,2,SD
468,2020,4,SR
469,2021,4,SR
470,2022,3,SR
471,2020,3,SE
472,2021,3,SE
473,2022,1,SE
474,2020,3,CH
475,2021,3,CH
476,2022,1,CH
477,2020,3,SY
478,2021,1,SY
479,2022,1,SY
480,2020,4,TW
481,2021,4,TW
482,2022,3,TW
483,2020,4,TJ
484,2021,4,TJ
485,2022,4,TJ
486,2020,4,TZ
487,2021,3,TZ
488,2022,1,TZ
489,2020,4,TH
490,2021,4,TH
491,2022,3,TH
492,2020,4,TL
493,2021,4,TL
494,2022,1,TL
495,2020,4,TG
496,2021,4,TG
497,2022,2,TG
498,2020,4,TO
499,2021,4,TO
500,2022,4,TO
501,2020,4,TT
502,2021,4,TT
503,2022,1,TT
504,2020,4,TN
505,2021,3,TN
506,2022,1,TN
507,2020,4,TR
508,2021,3,TR
509,2022,3,TR
