code,year,estimate
AD,2006,1.28
AD,2007,1.3266666666666667
AD,2008,1.345
AD,2009,1.3516666666666666
AD,2010,1.3333333333333333
AD,2011,1.4066666666666665
AD,2012,1.4100000000000001
AD,2013,1.405
AD,2014,1.3183333333333334
AD,2015,1.3099999999999998
AD,2016,1.3166666666666667
AD,2017,1.39
AD,2018,1.3716666666666668
AD,2019,1.4083333333333332
AD,2020,1.4433333333333334
AD,2021,1.4400000000000002
AD,2022,1.3933333333333333
AD,2023,1.3566666666666667
AE,2006,0.4483333333333333
AE,2007,0.48333333333333334
AE,2008,0.4583333333333333
AE,2009,0.4733333333333334
AE,2010,0.39166666666666666
AE,2011,0.5166666666666667
AE,2012,0.5633333333333334
AE,2013,0.6183333333333333
AE,2014,0.6666666666666666
AE,2015,0.6466666666666666
AE,2016,0.6366666666666666
AE,2017,0.63
AE,2018,0.635
AE,2019,0.6266666666666667
AE,2020,0.6216666666666667
AE,2021,0.6216666666666667
AE,2022,0.6566666666666666
AE,2023,0.6966666666666667
AF,2006,-1.6366666666666667
AF,2007,-1.68
AF,2008,-1.7616666666666667
AF,2009,-1.7816666666666665
AF,2010,-1.75
AF,2011,-1.7283333333333335
AF,2012,-1.5566666666666666
AF,2013,-1.5683333333333334
AF,2014,-1.4716666666666667
AF,2015,-1.495
AF,2016,-1.5650000000000002
AF,2017,-1.6066666666666667
AF,2018,-1.5983333333333334
AF,2019,-1.575
AF,2020,-1.6833333333333333
AF,2021,-1.6833333333333333
AF,2022,-1.7133333333333332
AF,2023,-1.7316666666666667
AG,2006,0.7383333333333333
AG,2007,0.7183333333333334
AG,2008,0.79
AG,2009,0.7916666666666666
AG,2010,0.7966666666666667
AG,2011,0.7983333333333333
AG,2012,0.8183333333333334
AG,2013,0.7916666666666666
AG,2014,0.4083333333333334
AG,2015,0.5516666666666666
AG,2016,0.5266666666666667
AG,2017,0.35833333333333334
AG,2018,0.395
AG,2019,0.4483333333333333
AG,2020,0.4366666666666667
AG,2021,0.39833333333333326
AG,2022,0.41500000000000004
AG,2023,0.55
AI,2006,1.3083333333333333
AI,2007,1.3033333333333335
AI,2008,1.325
AI,2009,1.2483333333333333
AI,2010,1.3233333333333333
AI,2011,1.3416666666666668
AI,2012,1.3283333333333334
AI,2013,1.3316666666666668
AI,2014,0.8459999999999999
AI,2015,0.8300000000000001
AI,2016,0.892
AI,2017,0.798
AI,2018,0.776
AI,2019,0.8800000000000001
AI,2020,0.868
AI,2021,0.884
AI,2022,1.002
AI,2023,1.034
AL,2006,-0.44166666666666665
AL,2007,-0.31
AL,2008,-0.21666666666666667
AL,2009,-0.16166666666666665
AL,2010,-0.17333333333333334
AL,2011,-0.21333333333333335
AL,2012,-0.2416666666666667
AL,2013,-0.19999999999999998
AL,2014,-0.006666666666666654
AL,2015,-0.02833333333333334
AL,2016,-0.009999999999999995
AL,2017,4.625929269271485e-18
AL,2018,-0.01
AL,2019,-0.08833333333333333
AL,2020,-0.11833333333333333
AL,2021,-0.07166666666666666
AL,2022,-0.018333333333333326
AL,2023,0.04666666666666667
AM,2006,-0.36333333333333334
AM,2007,-0.3283333333333333
AM,2008,-0.3
AM,2009,-0.25
AM,2010,-0.31
AM,2011,-0.2866666666666667
AM,2012,-0.18833333333333332
AM,2013,-0.17166666666666666
AM,2014,-0.325
AM,2015,-0.33499999999999996
AM,2016,-0.36166666666666664
AM,2017,-0.3433333333333333
AM,2018,-0.16833333333333333
AM,2019,-0.12833333333333333
AM,2020,-0.15166666666666667
AM,2021,-0.16166666666666665
AM,2022,-0.18666666666666668
AM,2023,-0.15666666666666665
AO,2006,-1.1466666666666667
AO,2007,-1.14
AO,2008,-1.055
AO,2009,-1.0216666666666667
AO,2010,-1.0250000000000001
AO,2011,-1.075
AO,2012,-1.0083333333333333
AO,2013,-1.0683333333333334
AO,2014,-0.9883333333333333
AO,2015,-0.9899999999999999
AO,2016,-0.98
AO,2017,-0.9966666666666667
AO,2018,-0.8766666666666666
AO,2019,-0.8649999999999999
AO,2020,-0.9049999999999999
AO,2021,-0.8333333333333334
AO,2022,-0.785
AO,2023,-0.7600000000000001
AR,2006,-0.19166666666666665
AR,2007,-0.17833333333333334
AR,2008,-0.27999999999999997
AR,2009,-0.36833333333333335
AR,2010,-0.25499999999999995
AR,2011,-0.19833333333333333
AR,2012,-0.2966666666666667
AR,2013,-0.32
AR,2014,-0.3766666666666667
AR,2015,-0.31
AR,2016,-0.00999999999999999
AR,2017,0.013333333333333345
AR,2018,0.010000000000000009
AR,2019,-0.10666666666666669
AR,2020,-0.14833333333333334
AR,2021,-0.21833333333333335
AR,2022,-0.24333333333333332
AR,2023,-0.205
AS,2006,0.5383333333333333
AS,2007,0.7000000000000001
AS,2008,0.7133333333333334
AS,2009,0.715
AS,2010,0.7050000000000001
AS,2011,0.7016666666666667
AS,2012,0.7033333333333335
AS,2013,0.6966666666666667
AS,2014,0.866
AS,2015,0.836
AS,2016,0.8400000000000001
AS,2017,0.8960000000000001
AS,2018,0.8880000000000001
AS,2019,0.945
AS,2020,0.935
AS,2021,0.9400000000000001
AS,2022,0.9633333333333334
AS,2023,0.9460000000000001
AT,2006,1.6183333333333334
AT,2007,1.6900000000000002
AT,2008,1.6366666666666667
AT,2009,1.5266666666666666
AT,2010,1.54
AT,2011,1.4733333333333334
AT,2012,1.5266666666666666
AT,2013,1.54
AT,2014,1.5166666666666666
AT,2015,1.4383333333333332
AT,2016,1.3983333333333334
