code,rank,visa_free_count,year
AF,116,26,2021
AF,106,26,2020
AF,106,30,2018
AF,104,24,2017
AF,104,25,2016
AF,110,25,2015
AF,94,28,2014
AF,93,28,2013
AF,103,26,2012
AF,101,24,2011
AF,98,26,2010
AF,89,0,2009
AF,89,22,2008
AF,86,0,2007
AF,83,12,2006
AF,107,25,2019
AF,111,26,2022
AF,109,27,2023
AF,104,28,2024
AF,98,25,2025
AL,56,113,2021
AL,49,114,2018
AL,50,114,2020
AL,55,98,2017
AL,53,98,2016
AL,54,94,2015
AL,45,91,2014
AL,45,88,2013
AL,55,84,2012
AL,52,84,2011
AL,78,49,2010
AL,76,0,2009
AL,76,36,2008
AL,51,113,2019
AL,77,0,2007
AL,79,17,2006
AL,49,114,2022
AL,51,115,2023
AL,48,123,2024
AL,40,123,2025
DZ,96,52,2021
DZ,89,51,2020
DZ,91,50,2018
DZ,88,48,2017
DZ,89,48,2016
DZ,94,45,2015
DZ,82,46,2014
DZ,79,47,2013
DZ,88,45,2012
DZ,84,46,2011
DZ,79,48,2010
DZ,76,0,2009
DZ,76,36,2008
DZ,74,0,2007
DZ,73,23,2006
DZ,91,50,2019
DZ,91,52,2022
DZ,90,53,2023
DZ,86,56,2024
DZ,79,55,2025
AO,98,50,2021
AO,90,50,2020
AO,92,49,2018
AO,90,45,2017
AO,92,45,2016
AO,99,40,2015
AO,86,42,2014
AO,86,40,2013
AO,96,37,2012
AO,96,34,2011
AO,92,34,2010
AO,81,0,2009
AO,81,31,2008
AO,79,0,2007
AO,77,19,2006
AO,92,49,2019
AO,93,50,2022
AO,92,51,2023
AO,88,53,2024
AO,85,48,2025
AG,31,150,2021
AG,27,150,2018
AG,29,151,2020
AG,30,136,2017
AG,30,134,2016
AG,28,133,2015
AG,24,132,2014
AG,25,130,2013
AG,31,126,2012
AG,30,128,2011
AG,33,119,2010
AG,40,0,2009
AG,40,82,2008
AG,28,149,2019
AG,39,0,2007
AG,39,63,2006
AG,30,150,2022
AG,31,151,2023
AG,27,153,2024
AG,25,152,2025
AR,20,170,2021
AR,17,170,2018
AR,18,170,2020
AR,20,154,2017
AR,22,152,2016
AR,20,150,2015
AR,17,150,2014
AR,18,147,2013
AR,23,140,2012
AR,24,141,2011
AR,26,132,2010
AR,20,0,2009
AR,20,127,2008
AR,17,170,2019
AR,19,0,2007
AR,19,101,2006
AR,19,170,2022
AR,20,170,2023
AR,16,174,2024
AR,16,170,2025
AM,84,64,2021
AM,77,63,2020
AM,80,61,2018
AM,78,58,2017
AM,80,57,2016
AM,87,52,2015
AM,73,55,2014
AM,72,55,2013
AM,81,52,2012
AM,80,51,2011
AM,76,51,2010
AM,66,0,2009
AM,66,46,2008
AM,67,0,2007
AM,69,23,2006
AM,81,60,2019
AM,78,65,2022
AM,79,66,2023
AM,74,68,2024
AM,69,67,2025
AU,8,184,2021
AU,7,183,2018
AU,8,184,2020
AU,7,170,2017
AU,8,169,2016
AU,6,168,2015
AU,7,168,2014
AU,6,167,2013
AU,6,163,2012
AU,8,166,2011
AU,9,157,2010
AU,7,0,2009
AU,7,151,2008
AU,9,181,2019
AU,8,0,2007
AU,9,120,2006
AU,7,185,2022
AU,8,185,2023
AU,6,189,2024
AU,7,185,2025
AT,4,188,2021
AT,5,186,2018
AT,5,187,2020
AT,4,173,2017
AT,5,173,2016
AT,5,169,2015
AT,4,171,2014
AT,5,168,2013
AT,6,163,2012
AT,6,168,2011
AT,8,158,2010
AT,5,0,2009
AT,5,153,2008
AT,5,185,2019
AT,5,0,2007
AT,6,125,2006
AT,4,188,2022
AT,5,188,2023
AT,3,192,2024
AT,4,188,2025
AZ,80,68,2021
AZ,73,67,2020
AZ,75,66,2018
AZ,74,64,2017
AZ,75,62,2016
AZ,82,58,2015
AZ,70,58,2014
AZ,71,56,2013
AZ,76,57,2012
AZ,75,56,2011
AZ,76,51,2010
AZ,68,0,2009
