id,code,related_country_code,visa_requirements
0,PS,AF,visa_required
1,PS,DZ,visa_required
2,PS,AD,visa_required
3,PS,AO,visa_required
4,PS,AI,visa_required
5,PS,AR,visa_required
6,PS,AM,visa_required
7,PS,AW,visa_required
8,PS,AT,visa_required
9,PS,BB,visa_required
10,PS,BY,visa_required
11,PS,BE,visa_required
12,PS,BZ,visa_required
13,PS,BM,visa_required
14,PS,BT,visa_required
15,PS,BQ,visa_required
16,PS,BA,visa_required
17,PS,BR,visa_required
18,PS,BN,visa_required
19,PS,BG,visa_required
20,PS,CA,visa_required
21,PS,KY,visa_required
22,PS,CF,visa_required
23,PS,TD,visa_required
24,PS,CL,visa_required
25,PS,CN,visa_required
26,PS,CG,visa_required
27,PS,CR,visa_required
28,PS,CI,visa_required
29,PS,HR,visa_required
30,PS,CW,visa_required
31,PS,CY,visa_required
32,PS,CZ,visa_required
33,PS,DK,visa_required
34,PS,DO,visa_required
35,PS,EG,visa_required
36,PS,SV,visa_required
37,PS,ER,visa_required
38,PS,EE,visa_required
39,PS,FK,visa_required
40,PS,FO,visa_required
41,PS,FJ,visa_required
42,PS,FI,visa_required
43,PS,FR,visa_required
44,PS,GF,visa_required
45,PS,PF,visa_required
46,PS,FW,visa_required
47,PS,GM,visa_required
48,PS,GE,visa_required
49,PS,DE,visa_required
50,PS,GH,visa_required
51,PS,GI,visa_required
52,PS,GR,visa_required
53,PS,GL,visa_required
54,PS,GD,visa_required
55,PS,GU,visa_required
56,PS,GT,visa_required
57,PS,GY,visa_required
58,PS,HN,visa_required
59,PS,HK,visa_required
60,PS,HU,visa_required
61,PS,IS,visa_required
62,PS,IQ,visa_required
63,PS,IE,visa_required
64,PS,IL,visa_required
65,PS,IT,visa_required
66,PS,JM,visa_required
67,PS,JP,visa_required
68,PS,KZ,visa_required
69,PS,KI,visa_required
70,PS,XK,visa_required
71,PS,LV,visa_required
72,PS,LB,visa_required
73,PS,LY,visa_required
74,PS,LI,visa_required
75,PS,LT,visa_required
76,PS,LU,visa_required
77,PS,MK,visa_required
78,PS,MG,visa_required
79,PS,MW,visa_required
80,PS,ML,visa_required
81,PS,MT,visa_required
82,PS,MH,visa_required
83,PS,MU,visa_required
84,PS,YT,visa_required
85,PS,MX,visa_required
86,PS,MC,visa_required
87,PS,MN,visa_required
88,PS,ME,visa_required
89,PS,MA,visa_required
90,PS,MM,visa_required
91,PS,NA,visa_required
92,PS,NR,visa_required
93,PS,NP,visa_required
94,PS,NL,visa_required
95,PS,NC,visa_required
96,PS,NZ,visa_required
97,PS,NE,visa_required
98,PS,KP,visa_required
99,PS,MP,visa_required
100,PS,NO,visa_required
101,PS,PA,visa_required
102,PS,PG,visa_required
103,PS,PY,visa_required
104,PS,PE,visa_required
105,PS,PH,visa_required
106,PS,PL,visa_required
107,PS,PT,visa_required
108,PS,PR,visa_required
109,PS,RE,visa_required
110,PS,RO,visa_required
111,PS,RU,visa_required
112,PS,AS,visa_required
113,PS,SM,visa_required
114,PS,SA,visa_required
115,PS,RS,visa_required
116,PS,SL,visa_required
117,PS,SK,visa_required
118,PS,SI,visa_required
119,PS,SB,visa_required
120,PS,KR,visa_required
121,PS,SS,visa_required
122,PS,ES,visa_required
123,PS,SH,visa_required
124,PS,MF,visa_required
125,PS,SD,visa_required
126,PS,SE,visa_required
127,PS,CH,visa_required
128,PS,TW,visa_required
129,PS,TO,visa_required
130,PS,TT,visa_required
131,PS,TN,visa_required
132,PS,TM,visa_required
133,PS,TC,visa_required
134,PS,UA,visa_required
135,PS,GB,visa_required
136,PS,US,visa_required
137,PS,UY,visa_required
138,PS,VU,visa_required
139,PS,VA,visa_required
140,PS,VG,visa_required
141,PS,VI,visa_required
142,PS,YE,visa_required
143,PS,LC,visa_required
144,PS,UZ,visa_required
145,PS,KW,visa_required
146,PS,LS,visa_required
147,PS,AG,visa_online
148,PS,AU,visa_online
149,PS,AZ,visa_online
150,PS,BJ,visa_online
151,PS,CO,visa_online
152,PS,ET,visa_online
153,PS,GA,visa_online
154,PS,IN,visa_online
155,PS,KG,visa_online
156,PS,MD,visa_online
157,PS,MS,visa_online
158,PS,OM,visa_online
159,PS,QA,visa_online
160,PS,ST,visa_online
161,PS,KN,visa_online
162,PS,TJ,visa_online
163,PS,TR,visa_online
164,PS,AE,visa_online
165,PS,ZM,visa_online
166,PS,UG,visa_online
167,PS,AL,visa_online
168,PS,VN,visa_online
169,PS,GN,visa_online
170,PS,BW,visa_online
171,PS,BH,visa_online
172,PS,CM,visa_online
173,PS,GQ,visa_online
174,PS,TG,visa_online
175,PS,SY,visa_online
176,PS,TZ,visa_online
177,PS,BS,visa_online
178,PS,TH,visa_online
179,PS,SG,visa_online
180,PS,PK,visa_online
181,PS,BF,visa_online
182,PS,MR,visa_online
183,PS,CD,visa_online
184,PS,NG,visa_online
185,PS,LR,visa_online
186,PS,CU,visa_online
187,PS,BD,visa_on_arrival
188,PS,BI,visa_on_arrival
189,PS,KH,visa_on_arrival
190,PS,CV,visa_on_arrival
191,PS,KM,visa_on_arrival
192,PS,GW,visa_on_arrival
193,PS,IR,visa_on_arrival
194,PS,LA,visa_on_arrival
195,PS,MO,visa_on_arrival
196,PS,MV,visa_on_arrival
197,PS,MZ,visa_on_arrival
198,PS,PW,visa_on_arrival
199,PS,RW,visa_on_arrival
200,PS,WS,visa_on_arrival
201,PS,SN,visa_on_arrival
202,PS,SO,visa_on_arrival
203,PS,TL,visa_on_arrival
204,PS,TV,visa_on_arrival
205,PS,ZW,visa_on_arrival
206,PS,ID,visa_on_arrival
207,PS,DJ,visa_on_arrival
208,PS,BO,visa_free_access
209,PS,CK,visa_free_access
210,PS,DM,visa_free_access
211,PS,EC,visa_free_access
212,PS,JO,visa_free_access
213,PS,MY,visa_free_access
214,PS,FM,visa_free_access
215,PS,NI,visa_free_access
216,PS,NU,visa_free_access
217,PS,VC,visa_free_access
218,PS,SZ,visa_free_access
219,PS,VE,visa_free_access
220,PS,SR,visa_free_access
221,PS,HT,visa_free_access
222,PS,ZA,visa_free_access
223,PS,LK,electronic_travel_authorisation
224,PS,KE,electronic_travel_authorisation
225,PS,SC,electronic_travel_authorisation
226,AD,AF,visa_required
227,AD,DZ,visa_required
228,AD,BT,visa_required
229,AD,BN,visa_required
230,AD,CF,visa_required
231,AD,TD,visa_required
232,AD,CG,visa_required
233,AD,CI,visa_required
234,AD,ER,visa_required
235,AD,FJ,visa_required
236,AD,GH,visa_required
237,AD,GD,visa_required
238,AD,GY,visa_required
239,AD,IQ,visa_required
240,AD,KI,visa_required
241,AD,LY,visa_required
242,AD,ML,visa_required
243,AD,MN,visa_required
244,AD,MM,visa_required
245,AD,NA,visa_required
246,AD,NR,visa_required
247,AD,NE,visa_required
248,AD,KP,visa_required
249,AD,SL,visa_required
250,AD,SS,visa_required
251,AD,SD,visa_required
252,AD,TO,visa_required
253,AD,TT,visa_required
254,AD,TM,visa_required
255,AD,TC,visa_required
256,AD,YE,visa_required
257,AD,LS,visa_required
258,AD,AO,visa_online
259,AD,AZ,visa_online
260,AD,BJ,visa_online
261,AD,ET,visa_online
262,AD,GA,visa_online
263,AD,IN,visa_online
264,AD,PK,visa_online
265,AD,KN,visa_online
266,AD,VN,visa_online
267,AD,UG,visa_online
268,AD,PG,visa_online
269,AD,GN,visa_online
270,AD,BW,visa_online
271,AD,CM,visa_online
272,AD,GQ,visa_online
273,AD,TG,visa_online
274,AD,SY,visa_online
275,AD,CU,visa_online
276,AD,BF,visa_online
277,AD,MR,visa_online
278,AD,CD,visa_online
279,AD,NG,visa_online
280,AD,LR,visa_online
281,AD,BH,visa_on_arrival
282,AD,BD,visa_on_arrival
283,AD,BI,visa_on_arrival
284,AD,KH,visa_on_arrival
285,AD,CV,visa_on_arrival
286,AD,KM,visa_on_arrival
287,AD,EG,visa_on_arrival
288,AD,GW,visa_on_arrival
289,AD,IR,visa_on_arrival
290,AD,JM,visa_on_arrival
291,AD,JO,visa_on_arrival
292,AD,KW,visa_on_arrival
293,AD,KG,visa_on_arrival
294,AD,LA,visa_on_arrival
295,AD,LB,visa_on_arrival
296,AD,MW,visa_on_arrival
297,AD,MV,visa_on_arrival
298,AD,MH,visa_on_arrival
299,AD,MU,visa_on_arrival
300,AD,MZ,visa_on_arrival
301,AD,NP,visa_on_arrival
302,AD,PW,visa_on_arrival
303,AD,WS,visa_on_arrival
304,AD,SA,visa_on_arrival
305,AD,SB,visa_on_arrival
306,AD,SO,visa_on_arrival
307,AD,SH,visa_on_arrival
308,AD,TZ,visa_on_arrival
309,AD,TL,visa_on_arrival
310,AD,TV,visa_on_arrival
311,AD,AE,visa_on_arrival
312,AD,ZW,visa_on_arrival
313,AD,ID,visa_on_arrival
314,AD,DJ,visa_on_arrival
315,AD,QA,visa_on_arrival
316,AD,JP,visa_free_access
317,AD,AL,visa_free_access
318,AD,AI,visa_free_access
319,AD,AG,visa_free_access
320,AD,AR,visa_free_access
321,AD,AM,visa_free_access
322,AD,AW,visa_free_access
323,AD,AT,visa_free_access
324,AD,BS,visa_free_access
325,AD,BY,visa_free_access
326,AD,BE,visa_free_access
327,AD,BZ,visa_free_access
328,AD,BM,visa_free_access
329,AD,BO,visa_free_access
330,AD,BQ,visa_free_access
331,AD,BA,visa_free_access
332,AD,BR,visa_free_access
333,AD,BG,visa_free_access
334,AD,KY,visa_free_access
335,AD,CL,visa_free_access
336,AD,CO,visa_free_access
337,AD,CK,visa_free_access
338,AD,CR,visa_free_access
339,AD,HR,visa_free_access
340,AD,CW,visa_free_access
341,AD,CY,visa_free_access
342,AD,CZ,visa_free_access
343,AD,DK,visa_free_access
344,AD,DM,visa_free_access
345,AD,DO,visa_free_access
346,AD,EC,visa_free_access
347,AD,SV,visa_free_access
348,AD,EE,visa_free_access
349,AD,FK,visa_free_access
350,AD,FO,visa_free_access
351,AD,FI,visa_free_access
352,AD,FR,visa_free_access
353,AD,GF,visa_free_access
354,AD,PF,visa_free_access
355,AD,FW,visa_free_access
356,AD,GM,visa_free_access
357,AD,GE,visa_free_access
358,AD,DE,visa_free_access
359,AD,GI,visa_free_access
360,AD,GR,visa_free_access
361,AD,GL,visa_free_access
362,AD,GT,visa_free_access
363,AD,HT,visa_free_access
364,AD,HN,visa_free_access
365,AD,HK,visa_free_access
366,AD,HU,visa_free_access
367,AD,IS,visa_free_access
368,AD,IE,visa_free_access
369,AD,IT,visa_free_access
370,AD,XK,visa_free_access
371,AD,LV,visa_free_access
372,AD,LI,visa_free_access
373,AD,LT,visa_free_access
374,AD,LU,visa_free_access
375,AD,MO,visa_free_access
376,AD,MK,visa_free_access
377,AD,MY,visa_free_access
378,AD,MT,visa_free_access
379,AD,YT,visa_free_access
380,AD,MX,visa_free_access
381,AD,FM,visa_free_access
382,AD,MD,visa_free_access
383,AD,MC,visa_free_access
384,AD,ME,visa_free_access
385,AD,MS,visa_free_access
386,AD,MA,visa_free_access
387,AD,NL,visa_free_access
388,AD,NC,visa_free_access
389,AD,NI,visa_free_access
390,AD,NU,visa_free_access
391,AD,NO,visa_free_access
392,AD,OM,visa_free_access
393,AD,PS,visa_free_access
394,AD,PA,visa_free_access
395,AD,PY,visa_free_access
396,AD,PE,visa_free_access
397,AD,PH,visa_free_access
398,AD,PL,visa_free_access
399,AD,PT,visa_free_access
400,AD,RE,visa_free_access
401,AD,RO,visa_free_access
402,AD,SM,visa_free_access
403,AD,ST,visa_free_access
404,AD,SN,visa_free_access
405,AD,RS,visa_free_access
406,AD,SG,visa_free_access
407,AD,SK,visa_free_access
408,AD,SI,visa_free_access
409,AD,ZA,visa_free_access
410,AD,ES,visa_free_access
411,AD,LC,visa_free_access
412,AD,MF,visa_free_access
413,AD,VC,visa_free_access
414,AD,SZ,visa_free_access
415,AD,SE,visa_free_access
416,AD,CH,visa_free_access
417,AD,TW,visa_free_access
418,AD,TN,visa_free_access
419,AD,TR,visa_free_access
420,AD,UA,visa_free_access
421,AD,UY,visa_free_access
422,AD,UZ,visa_free_access
423,AD,VU,visa_free_access
424,AD,VA,visa_free_access
425,AD,VE,visa_free_access
426,AD,VG,visa_free_access
427,AD,SR,visa_free_access
428,AD,BB,visa_free_access
429,AD,RW,visa_free_access
430,AD,MG,visa_free_access
431,AD,KZ,visa_free_access
432,AD,TJ,visa_free_access
433,AD,TH,visa_free_access
434,AD,ZM,visa_free_access
435,AD,CN,visa_free_access
436,AD,AU,electronic_travel_authorisation
437,AD,CA,electronic_travel_authorisation
438,AD,GU,electronic_travel_authorisation
439,AD,NZ,electronic_travel_authorisation
440,AD,MP,electronic_travel_authorisation
441,AD,PR,electronic_travel_authorisation
442,AD,AS,electronic_travel_authorisation
443,AD,LK,electronic_travel_authorisation
444,AD,US,electronic_travel_authorisation
445,AD,VI,electronic_travel_authorisation
446,AD,KR,electronic_travel_authorisation
447,AD,KE,electronic_travel_authorisation
448,AD,SC,electronic_travel_authorisation
449,AD,IL,electronic_travel_authorisation
450,AD,GB,electronic_travel_authorisation
451,AD,RU,electronic_travel_authorisation
452,VA,AF,visa_required
453,VA,DZ,visa_required
454,VA,AI,visa_required
455,VA,BB,visa_required
456,VA,BT,visa_required
457,VA,BN,visa_required
458,VA,KY,visa_required
459,VA,CF,visa_required
460,VA,TD,visa_required
461,VA,CN,visa_required
462,VA,CG,visa_required
463,VA,CI,visa_required
464,VA,ER,visa_required
465,VA,GH,visa_required
466,VA,GU,visa_required
467,VA,GY,visa_required
468,VA,IQ,visa_required
469,VA,JM,visa_required
470,VA,JP,visa_required
471,VA,KI,visa_required
472,VA,LB,visa_required
473,VA,LY,visa_required
474,VA,ML,visa_required
475,VA,MN,visa_required
476,VA,MA,visa_required
477,VA,MM,visa_required
478,VA,NR,visa_required
479,VA,NE,visa_required
480,VA,KP,visa_required
481,VA,MP,visa_required
482,VA,PY,visa_required
483,VA,PR,visa_required
484,VA,AS,visa_required
485,VA,SA,visa_required
486,VA,SL,visa_required
487,VA,SB,visa_required
488,VA,ZA,visa_required
489,VA,SS,visa_required
490,VA,LC,visa_required
491,VA,SD,visa_required
492,VA,TO,visa_required
493,VA,TT,visa_required
494,VA,TM,visa_required
495,VA,US,visa_required
496,VA,VE,visa_required
497,VA,VI,visa_required
498,VA,YE,visa_required
499,VA,IL,visa_required
500,VA,LS,visa_required
501,VA,AZ,visa_online
502,VA,BJ,visa_online
503,VA,EG,visa_online
504,VA,ET,visa_online
505,VA,GA,visa_online
506,VA,IN,visa_online
507,VA,PK,visa_online
508,VA,RU,visa_online
509,VA,VN,visa_online
510,VA,UG,visa_online
511,VA,PG,visa_online
512,VA,GN,visa_online
513,VA,CM,visa_online
514,VA,GQ,visa_online
515,VA,TG,visa_online
516,VA,SY,visa_online
517,VA,CU,visa_online
518,VA,TH,visa_online
519,VA,BF,visa_online
520,VA,MR,visa_online
521,VA,CD,visa_online
522,VA,NG,visa_online
523,VA,LR,visa_online
524,VA,BH,visa_on_arrival
525,VA,BD,visa_on_arrival
526,VA,BI,visa_on_arrival
527,VA,KH,visa_on_arrival
528,VA,CV,visa_on_arrival
529,VA,KM,visa_on_arrival
530,VA,GW,visa_on_arrival
531,VA,IR,visa_on_arrival
532,VA,JO,visa_on_arrival
533,VA,KW,visa_on_arrival
534,VA,LA,visa_on_arrival
535,VA,MO,visa_on_arrival
536,VA,MW,visa_on_arrival
537,VA,MV,visa_on_arrival
538,VA,MH,visa_on_arrival
539,VA,MZ,visa_on_arrival
540,VA,NP,visa_on_arrival
541,VA,PW,visa_on_arrival
542,VA,RW,visa_on_arrival
543,VA,WS,visa_on_arrival
544,VA,SO,visa_on_arrival
545,VA,SH,visa_on_arrival
546,VA,TZ,visa_on_arrival
547,VA,TL,visa_on_arrival
548,VA,TV,visa_on_arrival
549,VA,AE,visa_on_arrival
550,VA,ZW,visa_on_arrival
551,VA,ID,visa_on_arrival
552,VA,DJ,visa_on_arrival
553,VA,NA,visa_on_arrival
554,VA,QA,visa_on_arrival
555,VA,AL,visa_free_access
556,VA,AD,visa_free_access
557,VA,AG,visa_free_access
558,VA,AR,visa_free_access
559,VA,AM,visa_free_access
560,VA,AW,visa_free_access
561,VA,AT,visa_free_access
562,VA,BS,visa_free_access
563,VA,BY,visa_free_access
564,VA,BE,visa_free_access
565,VA,BZ,visa_free_access
566,VA,BM,visa_free_access
567,VA,BO,visa_free_access
568,VA,BQ,visa_free_access
569,VA,BA,visa_free_access
570,VA,BW,visa_free_access
571,VA,BR,visa_free_access
572,VA,BG,visa_free_access
573,VA,CL,visa_free_access
574,VA,CO,visa_free_access
575,VA,CK,visa_free_access
576,VA,CR,visa_free_access
577,VA,HR,visa_free_access
578,VA,CW,visa_free_access
579,VA,CY,visa_free_access
580,VA,CZ,visa_free_access
581,VA,DK,visa_free_access
582,VA,DM,visa_free_access
583,VA,DO,visa_free_access
584,VA,EC,visa_free_access
585,VA,SV,visa_free_access
586,VA,EE,visa_free_access
587,VA,FK,visa_free_access
588,VA,FO,visa_free_access
589,VA,FJ,visa_free_access
590,VA,FI,visa_free_access
591,VA,FR,visa_free_access
592,VA,GF,visa_free_access
593,VA,PF,visa_free_access
594,VA,FW,visa_free_access
595,VA,GM,visa_free_access
596,VA,GE,visa_free_access
597,VA,DE,visa_free_access
598,VA,GI,visa_free_access
599,VA,GR,visa_free_access
600,VA,GL,visa_free_access
601,VA,GD,visa_free_access
602,VA,GT,visa_free_access
603,VA,HT,visa_free_access
604,VA,HN,visa_free_access
605,VA,HK,visa_free_access
606,VA,HU,visa_free_access
607,VA,IS,visa_free_access
608,VA,IE,visa_free_access
609,VA,IT,visa_free_access
610,VA,KZ,visa_free_access
611,VA,XK,visa_free_access
612,VA,KG,visa_free_access
613,VA,LV,visa_free_access
614,VA,LI,visa_free_access
615,VA,LT,visa_free_access
616,VA,LU,visa_free_access
617,VA,MK,visa_free_access
618,VA,MY,visa_free_access
619,VA,MT,visa_free_access
620,VA,MU,visa_free_access
621,VA,YT,visa_free_access
622,VA,MX,visa_free_access
623,VA,FM,visa_free_access
624,VA,MD,visa_free_access
625,VA,MC,visa_free_access
626,VA,ME,visa_free_access
627,VA,MS,visa_free_access
628,VA,NL,visa_free_access
629,VA,NC,visa_free_access
630,VA,NI,visa_free_access
631,VA,NU,visa_free_access
632,VA,NO,visa_free_access
633,VA,OM,visa_free_access
634,VA,PS,visa_free_access
635,VA,PA,visa_free_access
636,VA,PE,visa_free_access
637,VA,PH,visa_free_access
638,VA,PL,visa_free_access
639,VA,PT,visa_free_access
640,VA,RE,visa_free_access
641,VA,RO,visa_free_access
642,VA,SM,visa_free_access
643,VA,ST,visa_free_access
644,VA,SN,visa_free_access
645,VA,RS,visa_free_access
646,VA,SG,visa_free_access
647,VA,SK,visa_free_access
648,VA,SI,visa_free_access
649,VA,ES,visa_free_access
650,VA,MF,visa_free_access
651,VA,VC,visa_free_access
652,VA,SZ,visa_free_access
653,VA,SE,visa_free_access
654,VA,CH,visa_free_access
655,VA,TW,visa_free_access
656,VA,TN,visa_free_access
657,VA,TR,visa_free_access
658,VA,TC,visa_free_access
659,VA,UA,visa_free_access
660,VA,UY,visa_free_access
661,VA,UZ,visa_free_access
662,VA,VU,visa_free_access
663,VA,VG,visa_free_access
664,VA,SR,visa_free_access
665,VA,MG,visa_free_access
666,VA,AO,visa_free_access
667,VA,TJ,visa_free_access
668,VA,ZM,visa_free_access
669,VA,AU,electronic_travel_authorisation
670,VA,CA,electronic_travel_authorisation
671,VA,NZ,electronic_travel_authorisation
672,VA,LK,electronic_travel_authorisation
673,VA,KR,electronic_travel_authorisation
674,VA,KE,electronic_travel_authorisation
675,VA,SC,electronic_travel_authorisation
676,VA,GB,electronic_travel_authorisation
677,VA,KN,electronic_travel_authorisation
678,SM,AF,visa_required
679,SM,DZ,visa_required
680,SM,AO,visa_required
681,SM,BT,visa_required
682,SM,BN,visa_required
683,SM,CF,visa_required
684,SM,TD,visa_required
685,SM,CG,visa_required
686,SM,CI,visa_required
687,SM,ER,visa_required
688,SM,FJ,visa_required
689,SM,GH,visa_required
690,SM,GY,visa_required
691,SM,IQ,visa_required
692,SM,KI,visa_required
693,SM,LY,visa_required
694,SM,ML,visa_required
695,SM,MH,visa_required
696,SM,MN,visa_required
697,SM,MM,visa_required
698,SM,NA,visa_required
699,SM,NR,visa_required
700,SM,NE,visa_required
701,SM,KP,visa_required
